log_id,date,engine_id,ata_chapter,component,text
LOG-1030,2026-01-22 08:02,99,73-10,Fuel System,ACARS Engine Alert — Engine 99 Sensor S6: Core exhaust nozzle divergent flap hinge fractured; flap found kinematically jammed. Ground team response: N2 sensor and wiring harness replaced (PN: 373-C63). Signal continuity confirmed on all channels. Engine run at cruise power — stable.
LOG-1031,2025-12-13 17:02,67,73-20,Engine Control (FADEC),EHM System Flag — Sensor S20 | Engine 67 | ATA 73-20: Fan cowl door latch pin fractured; door opened in flight causing structural damage to leading edge. Field fan balance performed (4 balance weights added per AMM 72-20-09). N1 vibration reduced from 1.8 to 0.3 IPS.
LOG-1032,2025-10-05 21:02,38,72-50,High-Pressure Turbine (HPT),Trend Analysis Report — Engine 38 High-Pressure Turbine (HPT): Sensor recalibration required: PS3 static pressure probe reading 2% high versus pitot-static reference. Maintenance response: VSV rigging adjusted per AMM 72-30-12 to restore schedule within ±1°. Functional test satisfactory.
LOG-1033,2026-03-15 17:02,37,72-60,Accessory Gearbox (AGB),Line Maintenance Write-Up #1033 | Accessory Gearbox (AGB) (ATA 72-60): EGT thermocouple harness chafing against fuel line; two conductors show bare wire. Resolution: Performed deep chemical wash and re-torqued casing bolts to 450 in-lbs per AMM 72-60-00-03.
LOG-1034,2025-09-14 19:02,63,74-10,Starter / Ignition System,ATA 74-10 | Engine 63: Rub strip contact observed on HPC stage-5 rotor; abradable coating partially displaced. Fan acoustic liner panel repaired with structural film adhesive per AMM 71-10-04 (PN: 605-X40). Tap test confirms no further delamination.
LOG-1035,2025-12-06 05:02,3,72-60,Accessory Gearbox (AGB),Pilot Report — Engine 3 (Accessory Gearbox (AGB)): 5th-stage bleed check valve stuck open; high-pressure bleed air back-flowing into 9th-stage duct. Corrective Action: Thrust reverser actuator replaced (PN: 585-X12). Full stow/deploy cycle tests × 5 — all within time limits.
LOG-1036,2026-04-22 14:02,23,71-10,Inlet / Nacelle,"ACARS Engine Alert — Engine 23 Sensor S2: LPT blade tip rub marks identified; rotor-to-shroud clearance measured at 0.003 in, exceeding the 0.002 in maximum. Ground team response: Oil seal replaced (PN: 779-B78). Engine oil consumption check over 10-hour period: 0.15 qt/hr — within limit of 0.4 qt/hr."
LOG-1037,2025-10-29 15:02,5,73-20,Engine Control (FADEC),Non-Routine Card NRC-1037 opened for Engine 5 Engine Control (FADEC). Finding: Thrust reverser sleeve failed to stow fully; blocker door hinge pin corroded and seized. Action: Igniter plug replaced (PN: 471-X16). Ignition system verified per AMM 74-10-00 — light-off within 10 seconds.
LOG-1038,2025-09-01 04:02,31,72-40,Low-Pressure Turbine (LPT),Shop Finding — Engine S/N 31 | Low-Pressure Turbine (LPT): Acoustic anomaly reported by flight crew during takeoff roll; traced to combustor liner burnthrough. Disposition: P&D valve replaced (PN: 360-Z91). Engine shutdown test × 3 confirms full closure within 1.5 s. Leak check clear.
LOG-1039,2025-08-16 09:02,91,72-50,Turbine Rear Frame (TRF),"Shop Finding — Engine S/N 91 | Turbine Rear Frame (TRF): LPT blade tip rub marks identified; rotor-to-shroud clearance measured at 0.003 in, exceeding the 0.002 in maximum. Disposition: Engine mount bushings replaced per AMM 71-20-01 (PN: 707-X57). Alignment checked; free-play within 0.008 in limit."
LOG-1040,2025-11-14 11:02,32,72-40,Combustor Section,ACARS Engine Alert — Engine 32 Sensor S11: Igniter plug A shows excessive electrode erosion; spark gap measured at 0.18 in (limit 0.12 in). Ground team response: Pylon skin crack repaired per SRM Chapter 53 approved doubler repair. NDT re-check: no crack extension. Returned to service.
LOG-1041,2026-04-25 21:02,95,78-30,Exhaust / Nozzle,EHM System Flag — Sensor S13 | Engine 95 | ATA 78-30: Igniter plug A shows excessive electrode erosion; spark gap measured at 0.18 in (limit 0.12 in). Blended out compressor blade damage per AMM 72-30-05; within all dimensional limits. FPI re-check clear.
LOG-1042,2025-10-23 04:02,86,74-10,Starter / Ignition System,Routine Inspection of Starter / Ignition System on Engine 86: Seal degradation resulting in higher-than-expected secondary airflow bypass; labyrinth knife-edges worn. Action Taken: T2 sensor de-iced and anti-ice inlet heater power supply verified. FADEC fault cleared. Altitude relight test successful.
LOG-1043,2025-10-28 17:02,6,73-10,Fuel System,Shop Finding — Engine S/N 6 | Fuel System: VSV schedule error of +3.5° at N2 = 87%; FADEC trim corrected after actuator feedback cable re-rigged. Disposition: LPT shroud segment blended within limits per AMM 72-40-07. Borescope re-check confirms crack arrest. Returned to service.
LOG-1044,2026-05-16 18:02,48,79-00,Oil System,Post-Flight Inspection Engine 48 (ATA 79-00): VSV schedule error of +3.5° at N2 = 87%; FADEC trim corrected after actuator feedback cable re-rigged. N2 sensor and wiring harness replaced (PN: 620-B98). Signal continuity confirmed on all channels. Engine run at cruise power — stable.
LOG-1045,2026-05-09 06:02,71,72-30,High-Pressure Compressor (HPC),Pilot Report — Engine 71 (High-Pressure Compressor (HPC)): P&D valve failed to close during engine shutdown; fuel dribble into combustor confirmed. Corrective Action: Thermal camera survey performed per AMM 36-10-00; bleed air leak confirmed and duct replaced (PN: 414-C95).
LOG-1046,2025-11-30 07:02,94,72-40,Low-Pressure Turbine (LPT),Pilot Report — Engine 94 (Low-Pressure Turbine (LPT)): Chip light illuminated during engine ground run; chip confirmed as single ferrous sliver <1 mm. Corrective Action: Nose cowl anti-ice duct insulation blanket replaced per AMM 30-21-01. Adjacent structure inspected — no heat damage found.
LOG-1047,2025-09-25 23:02,66,78-30,Thrust Reverser,Borescope Work Order | Engine 66 | Thrust Reverser: Turbine Rear Frame strut cracks detected by eddy-current inspection; 3 of 10 struts affected. Outcome: Engine inlet FOD inspection completed per post-bird-strike check sheet. All blades within blend limits. Returned to service.
LOG-1048,2026-02-07 07:02,15,36-10,Bleed Air / Anti-Ice System,Shop Finding — Engine S/N 15 | Bleed Air / Anti-Ice System: Customer bleed air duct found cracked at flex-joint flange; hot-air leak confirmed by thermal camera. Disposition: Performed MCD chip analysis per Engineering Order EO-391-X93; single isolated particle cleared by metallurgy. Ops check passed.
LOG-1049,2025-12-17 10:02,61,72-40,Combustor Section,Heavy Check C-Visit Finding | Engine 61 | Combustor Section: Pressure drop exceeding 15 PSI across the primary fuel manifold; filter element blocked. Engineering disposition: Engine sent to test cell for full performance restoration workscope. Post-test EGT margin: +42 °C. Returned to fleet.
LOG-1050,2026-03-27 02:02,4,71-20,Engine Mounts / Pylon,Engine 4 AOG Recovery — Engine Mounts / Pylon (ATA 71-20): VSV unison ring wear pin fractured; complete ring replaced per AMM 72-30-12. Expedited action: Nose cowl anti-ice duct insulation blanket replaced per AMM 30-21-01. Adjacent structure inspected — no heat damage found.
LOG-1051,2025-07-16 08:02,61,79-00,Oil System,Engine 61 AOG Recovery — Oil System (ATA 79-00): EGT margin trending -30 °C over 500 cycles; borescope confirms nozzle area growth due to tip rub. Expedited action: Oil seal replaced (PN: 415-X50). Engine oil consumption check over 10-hour period: 0.15 qt/hr — within limit of 0.4 qt/hr.
LOG-1052,2025-06-15 19:02,12,72-30,Variable Stator Vane (VSV) System,Line Maintenance Write-Up #1052 | Variable Stator Vane (VSV) System (ATA 72-30): Engine refused to accelerate above 80% N1 during takeoff; bleed air valve incorrectly rigged. Resolution: Removed and routed to off-site MRO shop for full overhaul (work order WO-155-C35). Installed serviceable spare.
LOG-1053,2025-11-12 09:02,53,72-20,Low-Pressure Compressor (LPC / Booster),Auto-Alert on Sensor S4 (Engine 53). Debris found in magnetic chip detector (MCD); metallurgical analysis confirms #3 bearing wear particles. Bleed check valve replaced (PN: 401-A35). Bleed system functional test at ground idle and max continuous — normal.
LOG-1054,2026-04-28 00:02,57,74-10,Starter / Ignition System,Engine 57 AOG Recovery — Starter / Ignition System (ATA 74-10): Excessive vibration N1 (1.8 IPS pk) traced to single fan blade mass imbalance; field balance performed. Expedited action: Blended out compressor blade damage per AMM 72-30-05; within all dimensional limits. FPI re-check clear.
LOG-1055,2026-02-02 20:02,54,78-30,Thrust Reverser,Borescope Work Order | Engine 54 | Thrust Reverser: Oil-in-fuel indication post-maintenance; #3 bearing sump seal misassembled during last shop visit. Outcome: Combustor liner replaced with serviceable unit (PN: 654-X78). Borescope post-installation confirms correct seating.
LOG-1056,2025-07-16 01:02,16,72-40,Low-Pressure Turbine (LPT),Borescope Work Order | Engine 16 | Low-Pressure Turbine (LPT): Engine refused to accelerate above 80% N1 during takeoff; bleed air valve incorrectly rigged. Outcome: Performed MCD chip analysis per Engineering Order EO-723-X62; single isolated particle cleared by metallurgy. Ops check passed.
LOG-1057,2026-02-23 01:02,3,79-00,Oil System,Trend Analysis Report — Engine 3 Oil System: Hydraulic actuator seal failure causing hydraulic fluid contamination in nacelle zone 3. Maintenance response: Engine mount bushings replaced per AMM 71-20-01 (PN: 558-B61). Alignment checked; free-play within 0.008 in limit.
LOG-1058,2026-05-06 12:02,48,72-30,Variable Stator Vane (VSV) System,Engine 48 AOG Recovery — Variable Stator Vane (VSV) System (ATA 72-30): Oil filter bypass indicator (OFBI) popped in-flight; filter element found heavily loaded with metallic debris. Expedited action: Fan cowl latch replaced (PN: 376-C60). All 6 latches tested for positive engagement and safety catch. Ops check complete.
LOG-1059,2025-07-20 09:02,94,79-00,Oil System,"Maintenance Debrief Engine 94 (Oil System, ATA 79-00): Crew reported anomaly. Finding: Fan cowl door latch pin fractured; door opened in flight causing structural damage to leading edge. FADEC software updated to version 5.1.4 per SB 79-00-73-056. Ground test cycle confirms correct engine response."
LOG-1060,2025-09-18 11:02,19,72-20,Fan Module / Bypass,Trend Analysis Report — Engine 19 Fan Module / Bypass: N2 speed sensor signal intermittent above FL350; EMI source identified on P-lead harness. Maintenance response: EGT harness replaced (PN: 152-B11). All thermocouple channels checked against reference — max split 12 °C. FADEC reset.
LOG-1061,2025-08-09 18:02,94,74-10,Starter / Ignition System,Pilot Report — Engine 94 (Starter / Ignition System): Sensor recalibration required: PS3 static pressure probe reading 2% high versus pitot-static reference. Corrective Action: FADEC software updated to version 5.1.4 per SB 74-10-73-056. Ground test cycle confirms correct engine response.
LOG-1062,2026-02-08 15:02,63,72-30,Variable Stator Vane (VSV) System,"Maintenance Debrief Engine 63 (Variable Stator Vane (VSV) System, ATA 72-30): Crew reported anomaly. Finding: Hot streak on turbine inlet temperature (TIT) sensor trace indicates circumferential non-uniformity in combustion. Fan acoustic liner panel repaired with structural film adhesive per AMM 71-10-04 (PN: 847-C44). Tap test confirms no further delamination."
LOG-1063,2025-07-18 22:02,99,72-20,Fan Module / Bypass,EHM System Flag — Sensor S3 | Engine 99 | ATA 72-20: Air turbine starter (ATS) drive shaft shear coupling failed during attempted engine start. Nose cowl anti-ice duct insulation blanket replaced per AMM 30-21-01. Adjacent structure inspected — no heat damage found.
LOG-1064,2025-12-08 02:02,67,71-20,Engine Mounts / Pylon,"Auto-Alert on Sensor S1 (Engine 67). Oil cooler matrix found cracked at inlet header, causing low oil pressure indication. Carried out compressor on-wing wash per CFMI SB 72-0XXX. EGT margin recovered by 18 °C. Returned to service."
LOG-1065,2025-08-08 00:02,15,72-40,Low-Pressure Turbine (LPT),Shop Finding — Engine S/N 15 | Low-Pressure Turbine (LPT): P&D valve failed to close during engine shutdown; fuel dribble into combustor confirmed. Disposition: Fan cowl latch replaced (PN: 720-B55). All 6 latches tested for positive engagement and safety catch. Ops check complete.
LOG-1066,2025-10-02 19:02,25,79-00,Oil System,Non-Routine Card NRC-1066 opened for Engine 25 Oil System. Finding: Rub strip contact observed on HPC stage-5 rotor; abradable coating partially displaced. Action: Anti-ice valve replaced (PN: 295-A48) and system leak-checked at 45 PSI. Functional test confirmed valve cycling.
LOG-1067,2026-05-21 05:02,35,72-60,Accessory Gearbox (AGB),Auto-Alert on Sensor S19 (Engine 35). Hydraulic actuator seal failure causing hydraulic fluid contamination in nacelle zone 3. EGT harness replaced (PN: 320-X39). All thermocouple channels checked against reference — max split 12 °C. FADEC reset.
LOG-1068,2025-08-17 02:02,7,72-50,Turbine Rear Frame (TRF),"Maintenance Debrief Engine 7 (Turbine Rear Frame (TRF), ATA 72-50): Crew reported anomaly. Finding: Oil consumption trend exceeding 0.5 qt/hr; on-wing investigation reveals #4 bearing carbon seal degradation. Igniter plug replaced (PN: 409-B57). Ignition system verified per AMM 74-10-00 — light-off within 10 seconds."
LOG-1069,2025-07-11 10:02,70,72-20,Fan Module / Bypass,Non-Routine Card NRC-1069 opened for Engine 70 Fan Module / Bypass. Finding: LPC booster blade erosion causing inlet distortion and increased N1 vibration. Action: Performed deep chemical wash and re-torqued casing bolts to 450 in-lbs per AMM 72-20-00-03.
LOG-1070,2026-03-31 02:02,81,71-20,Engine Mounts / Pylon,Trend Analysis Report — Engine 81 Engine Mounts / Pylon: EGT margin trending -30 °C over 500 cycles; borescope confirms nozzle area growth due to tip rub. Maintenance response: VSV rigging adjusted per AMM 72-30-12 to restore schedule within ±1°. Functional test satisfactory.
LOG-1071,2026-02-27 08:02,100,73-10,Fuel System,EHM System Flag — Sensor S6 | Engine 100 | ATA 73-10: In-flight deployment warning light illuminated; reverser cowl latch safety switch found open-circuit. Sensor recalibrated against master gauge (serial #721-X16). Ground engine run at max continuous power — all params normal.
LOG-1072,2025-09-24 16:02,66,71-20,Engine Mounts / Pylon,Borescope Work Order | Engine 66 | Engine Mounts / Pylon: Inter-turbine temperature (ITT) exceedance recorded — peak of 987 °C against a redline of 960 °C during climb. Outcome: Igniter plug replaced (PN: 561-X32). Ignition system verified per AMM 74-10-00 — light-off within 10 seconds.
LOG-1073,2025-11-07 08:02,61,72-50,Turbine Rear Frame (TRF),Heavy Check C-Visit Finding | Engine 61 | Turbine Rear Frame (TRF): Air turbine starter (ATS) drive shaft shear coupling failed during attempted engine start. Engineering disposition: N2 sensor and wiring harness replaced (PN: 495-C57). Signal continuity confirmed on all channels. Engine run at cruise power — stable.
LOG-1074,2025-12-04 10:02,54,78-30,Exhaust / Nozzle,"Maintenance Debrief Engine 54 (Exhaust / Nozzle, ATA 78-30): Crew reported anomaly. Finding: Oil filter bypass indicator (OFBI) popped in-flight; filter element found heavily loaded with metallic debris. Nose cowl anti-ice duct insulation blanket replaced per AMM 30-21-01. Adjacent structure inspected — no heat damage found."
LOG-1075,2025-08-15 01:02,40,78-30,Thrust Reverser,Pilot Report — Engine 40 (Thrust Reverser): Debris found in magnetic chip detector (MCD); metallurgical analysis confirms #3 bearing wear particles. Corrective Action: Adjusted fuel-flow metering within FADEC software limits (ref SB 78-30-73-12). Cleared for revenue service.
LOG-1076,2026-05-16 07:02,96,72-40,Combustor Section,Routine Inspection of Combustor Section on Engine 96: Fan blade dovetail fretting wear observed; fits within blend limits per AMM 72-20-03. Action Taken: Adjusted fuel-flow metering within FADEC software limits (ref SB 72-40-73-12). Cleared for revenue service.
LOG-1077,2025-06-15 15:02,82,79-00,Oil System,"Pilot Report — Engine 82 (Oil System): FADEC software exception code 0x4A31 — fuel control loop saturation at altitude relight attempt. Corrective Action: High-pressure fuel pump replaced (PN: 116-C32). Discharge pressure confirmed at 2,950 PSI at max continuous — within spec."
LOG-1078,2025-11-25 16:02,17,78-30,Exhaust / Nozzle,"Maintenance Debrief Engine 17 (Exhaust / Nozzle, ATA 78-30): Crew reported anomaly. Finding: EGT margin trending -30 °C over 500 cycles; borescope confirms nozzle area growth due to tip rub. Carried out compressor on-wing wash per CFMI SB 72-0XXX. EGT margin recovered by 18 °C. Returned to service."
LOG-1079,2025-07-26 07:02,6,36-10,Bleed Air / Anti-Ice System,Line Maintenance Write-Up #1079 | Bleed Air / Anti-Ice System (ATA 36-10): AGB oil filler cap found improperly seated; oil loss estimated at 2.3 qt over 4-hour flight. Resolution: Removed and routed to off-site MRO shop for full overhaul (work order WO-622-X11). Installed serviceable spare.
LOG-1080,2025-07-19 12:02,81,36-10,Bleed Air / Anti-Ice System,Non-Routine Card NRC-1080 opened for Engine 81 Bleed Air / Anti-Ice System. Finding: VSV unison ring wear pin fractured; complete ring replaced per AMM 72-30-12. Action: Thermal camera survey performed per AMM 36-10-00; bleed air leak confirmed and duct replaced (PN: 510-Z61).
LOG-1081,2026-05-17 00:02,10,72-20,Low-Pressure Compressor (LPC / Booster),Pilot Report — Engine 10 (Low-Pressure Compressor (LPC / Booster)): FADEC logged 14 EICAS maintenance messages relating to T4.5 thermocouple channel mismatch. Corrective Action: Performed on-wing borescope per AMM task 72-00-00-290-801. No further deterioration; component returned to service.
LOG-1082,2026-02-02 07:02,82,72-40,Low-Pressure Turbine (LPT),Engine 82 AOG Recovery — Low-Pressure Turbine (LPT) (ATA 72-40): Fan blade dovetail fretting wear observed; fits within blend limits per AMM 72-20-03. Expedited action: Engine sent to test cell for full performance restoration workscope. Post-test EGT margin: +42 °C. Returned to fleet.
LOG-1083,2026-02-08 14:02,16,72-20,Low-Pressure Compressor (LPC / Booster),Auto-Alert on Sensor S3 (Engine 16). Fuel nozzle #12 flow rate at 87% of nominal; nozzle pulled and replaced. FADEC software updated to version 5.1.4 per SB 72-20-73-056. Ground test cycle confirms correct engine response.
LOG-1084,2025-10-31 21:02,75,72-30,Variable Stator Vane (VSV) System,Trend Analysis Report — Engine 75 Variable Stator Vane (VSV) System: Anti-ice valve butterfly disc fractured; nacelle anti-ice inoperative — deferred per MEL 30-11. Maintenance response: LPT shroud segment blended within limits per AMM 72-40-07. Borescope re-check confirms crack arrest. Returned to service.
LOG-1085,2025-10-24 00:02,59,72-40,Combustor Section,"Auto-Alert on Sensor S12 (Engine 59). Heavy coking and carbon buildup observed on fuel nozzle atomizers — 4 of 24 nozzles below flow spec. High-pressure fuel pump replaced (PN: 127-X82). Discharge pressure confirmed at 2,950 PSI at max continuous — within spec."
LOG-1086,2026-04-16 13:02,23,72-60,Accessory Gearbox (AGB),Trend Analysis Report — Engine 23 Accessory Gearbox (AGB): 5th-stage bleed check valve stuck open; high-pressure bleed air back-flowing into 9th-stage duct. Maintenance response: Sensor recalibrated against master gauge (serial #692-A99). Ground engine run at max continuous power — all params normal.
LOG-1087,2025-06-22 02:02,50,74-10,Starter / Ignition System,Line Maintenance Write-Up #1087 | Starter / Ignition System (ATA 74-10): Anti-ice valve butterfly disc fractured; nacelle anti-ice inoperative — deferred per MEL 30-11. Resolution: Unison ring replaced (PN: 401-B20) per AMM 72-30-12. VSV schedule verified across N2 range — max deviation 0.8°.
LOG-1088,2026-03-27 07:02,75,79-00,Oil System,"Maintenance Debrief Engine 75 (Oil System, ATA 79-00): Crew reported anomaly. Finding: FADEC software exception code 0x4A31 — fuel control loop saturation at altitude relight attempt. N2 sensor and wiring harness replaced (PN: 902-Z64). Signal continuity confirmed on all channels. Engine run at cruise power — stable."
